rank,name,confed,off,def,spi
52,Greece,UEFA,1.39,0.77,59.76
53,Cameroon,CAF,1.49,0.87,59.45
54,Qatar,AFC,1.72,1.1,58.93
55,Finland,UEFA,1.51,0.94,58.29
56,Northern Ireland,UEFA,1.42,0.86,58.23
57,Rep of Ireland,UEFA,1.39,0.85,57.94
58,South Africa,CAF,1.51,0.97,57.51
59,Israel,UEFA,1.67,1.18,56.18
60,Uzbekistan,AFC,1.32,0.86,56.15
61,Hungary,UEFA,1.58,1.09,56.12
62,Slovenia,UEFA,1.38,0.93,55.6
63,Zambia,CAF,1.49,1.04,55.49
64,Congo DR,CAF,1.51,1.07,55.35
65,Bolivia,CONMEBOL,1.48,1.08,54.46
66,Canada,CONCACAF,1.5,1.12,53.84
67,Saudi Arabia,AFC,1.46,1.09,53.82
68,Honduras,CONCACAF,1.53,1.15,53.69
69,Burkina Faso,CAF,1.38,1.01,53.67
70,Guinea,CAF,1.48,1.11,53.48
71,Montenegro,UEFA,1.44,1.08,53.25
72,Georgia,UEFA,1.38,1.04,52.77
73,Angola,CAF,1.25,0.95,52.2
74,Haiti,CONCACAF,1.46,1.16,52.01
75,Bulgaria,UEFA,1.38,1.09,51.83
76,FYR Macedonia,UEFA,1.33,1.05,51.38
77,Belarus,UEFA,1.3,1.04,50.95
78,Iraq,AFC,1.28,1.03,50.79
79,Kosovo,UEFA,1.38,1.15,50.49
80,Panama,CONCACAF,1.33,1.12,50.0
81,Tanzania,CAF,1.49,1.29,49.77
82,Zimbabwe,CAF,1.4,1.2,49.69
83,Syria,AFC,1.47,1.3,49.22
84,Libya,CAF,1.39,1.25,48.35
85,China PR,AFC,1.22,1.08,48.3
86,Kenya,CAF,1.14,1.0,48.21
87,Armenia,UEFA,1.52,1.46,46.74
88,Gabon,CAF,1.05,0.99,45.9
89,Uganda,CAF,0.96,0.9,45.78
90,Jamaica,CONCACAF,1.32,1.32,45.29
91,New Zealand,OFC,1.28,1.29,44.99
92,Albania,UEFA,1.12,1.12,44.87
93,Cape Verde Islands,CAF,1.14,1.14,44.74
94,El Salvador,CONCACAF,1.21,1.24,44.34
95,Bahrain,AFC,1.02,1.09,42.92
96,Congo,CAF,1.34,1.45,42.81
97,Burundi,CAF,0.99,1.07,42.43
98,Oman,AFC,0.99,1.09,42.21
99,Guatemala,CONCACAF,1.37,1.53,42.08
100,Curacao,CONCACAF,1.37,1.53,42.03
101,Togo,CAF,1.14,1.29,41.5
102,Cuba,CONCACAF,0.97,1.1,41.33
103,Benin,CAF,1.21,1.41,40.85
104,Trinidad and Tobago,CONCACAF,1.21,1.41,40.68
105,Malawi,CAF,0.76,0.9,40.03
106,Botswana,CAF,0.93,1.14,39.39
107,Jordan,AFC,0.89,1.11,38.97
108,Equatorial Guinea,CAF,1.07,1.34,38.88
109,Kazakhstan,UEFA,1.16,1.46,38.55
110,Estonia,UEFA,0.98,1.24,38.48
111,Namibia,CAF,0.78,1.0,38.1
112,Cyprus,UEFA,1.08,1.39,37.89
113,Madagascar,CAF,1.16,1.5,37.75
114,United Arab Emirates,AFC,0.86,1.17,36.7
115,Gambia,CAF,1.02,1.39,36.66
116,Liberia,CAF,1.18,1.59,36.5
117,Mauritania,CAF,1.13,1.53,36.29
118,Guinea-Bissau,CAF,1.12,1.58,35.2
119,Kuwait,AFC,0.83,1.23,34.68
120,Lebanon,AFC,0.67,1.04,34.13
121,Dominican Republic,CONCACAF,1.18,1.72,34.01
122,Chad,CAF,1.02,1.52,33.82
123,Luxembourg,UEFA,1.09,1.63,33.57
124,Moldova,UEFA,0.91,1.42,33.11
125,Azerbaijan,UEFA,0.91,1.43,32.99
126,Nicaragua,CONCACAF,1.04,1.62,32.77
127,Bermuda,CONCACAF,1.25,1.88,32.73
128,Ethiopia,CAF,0.72,1.21,32.29
129,Mozambique,CAF,0.97,1.57,32.0
130,Sierra Leone,CAF,1.07,1.72,31.44
131,St. Kitts and Nevis,CONCACAF,1.07,1.73,31.37
132,Lithuania,UEFA,1.01,1.67,31.14
133,Rwanda,CAF,0.7,1.23,31.11
134,Palestine,AFC,0.81,1.43,30.38
135,Sudan,CAF,0.77,1.38,30.24
136,Niger,CAF,0.92,1.6,30.24
137,Central African Republic,CAF,1.06,1.85,29.14
138,Vietnam,AFC,0.76,1.45,28.56
139,Latvia,UEFA,0.84,1.58,28.51
140,Kyrgyzstan,AFC,0.79,1.52,28.14
141,Antigua and Barbuda,CONCACAF,1.1,2.0,27.81
142,Comoros,CAF,1.03,1.91,27.59
143,North Korea,AFC,0.96,1.83,27.29
144,Lesotho,CAF,0.61,1.36,26.35
145,Fiji,OFC,0.69,1.5,26.09
146,Thailand,AFC,0.9,1.87,25.26
147,Belize,CONCACAF,0.83,1.76,25.19
148,Turkmenistan,AFC,0.81,1.75,25.07
149,Suriname,CONCACAF,0.76,1.71,24.52
150,Faroe Islands,UEFA,0.81,1.8,24.15
151,Guyana,CONCACAF,1.08,2.28,23.27
152,Martinique,CONCACAF,0.81,1.88,23.2
153,Solomon Islands,OFC,0.69,1.71,22.71
154,Swaziland,CAF,0.61,1.58,22.68
155,Barbados,CONCACAF,0.52,1.51,21.62
156,New Caledonia,OFC,0.69,1.85,20.92
157,Puerto Rico,CONCACAF,0.75,1.96,20.79
158,India,AFC,0.62,1.76,20.41
159,Mauritius,CAF,0.85,2.17,20.14
160,Tahiti,OFC,0.81,2.15,19.56
161,Hong Kong,AFC,0.44,1.52,19.38
162,Vanuatu,OFC,0.7,1.97,19.37
163,Philippines,AFC,0.73,2.07,18.77
164,Tajikistan,AFC,0.69,2.0,18.76
165,Dominica,CONCACAF,0.47,1.66,18.28
166,South Sudan,CAF,0.79,2.28,17.64
167,St. Lucia,CONCACAF,0.64,2.04,17.39
168,Malta,UEFA,0.63,2.03,17.35
169,Sao Tome and Principe,CAF,0.82,2.36,17.22
170,Singapore,AFC,0.48,1.77,17.17
171,Indonesia,AFC,0.6,2.02,16.71
172,Grenada,CONCACAF,0.68,2.22,16.04
173,Malaysia,AFC,0.61,2.15,15.46
174,Yemen,AFC,0.37,1.69,15.36
175,St. Vincent and the Grenadines,CONCACAF,0.72,2.37,15.29
176,Liechtenstein,UEFA,0.63,2.23,14.98
177,Gibraltar,UEFA,0.52,2.11,14.17
178,Andorra,UEFA,0.26,1.82,11.56
179,Seychelles,CAF,0.48,2.38,11.07
180,Afghanistan,AFC,0.6,2.62,10.96
181,Aruba,CONCACAF,0.64,2.76,10.68
182,Montserrat,CONCACAF,0.81,3.24,9.65
183,Cayman Islands,CONCACAF,0.4,2.41,9.43
184,Papua New Guinea,OFC,0.6,2.88,9.16
185,Myanmar,AFC,0.39,2.5,8.72
186,Nepal,AFC,0.2,2.12,7.94
187,Chinese Taipei,AFC,0.43,2.73,7.74
188,Bahamas,CONCACAF,0.73,3.44,7.5
189,Maldives,AFC,0.41,2.87,6.75
190,French Guiana,CONCACAF,0.52,3.18,6.57
191,Bangladesh,AFC,0.2,2.5,5.77
192,Mongolia,AFC,0.32,2.93,5.4
193,Somalia,CAF,0.4,3.14,5.39
194,Djibouti,CAF,0.44,3.33,5.03
195,San Marino,UEFA,0.28,3.17,3.98
196,British Virgin Islands,CONCACAF,0.42,3.62,3.88
197,Bonaire,CONCACAF,0.37,3.59,3.5
198,Cambodia,AFC,0.29,3.37,3.5
199,Turks and Caicos Islands,CONCACAF,0.68,4.76,2.75
200,Guadeloupe,CONCACAF,0.2,3.49,2.47
201,Anguilla,CONCACAF,0.36,4.03,2.41
202,Bhutan,AFC,0.25,3.84,2.11
203,US Virgin Islands,CONCACAF,0.38,4.38,1.93
204,Pakistan,AFC,0.2,3.8,1.91
205,Brunei,AFC,0.22,3.9,1.84
206,Sri Lanka,AFC,0.2,4.07,1.49
207,Laos,AFC,0.23,4.38,1.24
208,Guam,AFC,0.26,4.86,0.92
209,St. Martin,CONCACAF,0.23,4.89,0.81
210,Timor-Leste,AFC,0.33,5.34,0.76
211,Sint Maarten,CONCACAF,0.21,4.93,0.74
212,Tuvalu,OFC,0.38,5.62,0.7
213,Macau,AFC,0.2,5.46,0.45
214,Samoa,OFC,0.2,5.78,0.34
215,Tonga,OFC,0.2,6.08,0.26
